Key,Status,Labels,Fix Version/s,Issue Type,? Original Estimate,Priority,Sprint,Due Date,Created,QA Due Date
MCPU-13534,New Bug,TEAM_BEAUJOLAIS,PU9.0,Bug,,Major,,,09/07/2018 07:54,
MCPU-13533,Development Approved,"ENVIRONMENT_BUG,MISC",PU9.0,Bug,,Minor,,,09/07/2018 07:53,
MCPU-13532,New Bug,TEAM_BEAUJOLAIS,PU9.0,Bug,,Major,,,09/07/2018 06:35,
MCPU-13531,New Bug,TEAM_BEAUJOLAIS,PU9.0,Bug,,Major,,,09/07/2018 06:32,
MCPU-13530,Closed - Complete,TEAM_BEAUJOLAIS,PU9.0,Bug,,Critical,,,09/07/2018 06:21,
MCPU-13529,New Bug,"EXIT_PROCESSING, TEAM_BEAUJOLAIS",PU9.0,Bug,,Major,,,09/07/2018 06:13,
MCPU-13514,New Bug,"PriorityForQA, RequiredForConformance, TEAM_BEAUJOLAIS",PU9.0,Bug,,Major,,,06/07/2018 22:27,
MCPU-13513,New Bug,"PriorityforQA, TEAM_BEAUJOLAIS",PU9.0,Bug,,Critical,,,06/07/2018 18:04,
MCPU-13510,In Development,"Blocker_For_Conformance, PriorityforQA, RequiredForConformance, TEAM_BEAUJOLAIS",PU10.0,Bug,,Critical,,20-Jul-18,06/07/2018 15:36,
MCPU-13490,Closed - Complete,TEAM_BEAUJOLAIS,PU9.0,Bug,,Critical,,11-Jul-18,06/07/2018 13:09,
MCPU-13477,New Bug,TEAM_BEAUJOLAIS,PU9.0,Bug,,Major,,,06/07/2018 11:55,
MCPU-13476,New Bug,"Technical,MISC",PU9.0,Bug,,Critical,,,06/07/2018 11:50,
MCPU-13475,Closed - Complete,TEAM_BEAUJOLAIS,PU9.0,Bug,,Critical,,11-Jul-18,06/07/2018 11:32,
MCPU-13473,Closed - Complete,TEAM_BEAUJOLAIS,PU9.0,Bug,,Blocker,,,06/07/2018 10:31,
MCPU-13471,New Bug,"Core-Vivek, TEAM_ALSACE",PU9.0,Bug,,Minor,CreditTeam-Alsace-Sprint-28,,06/07/2018 09:11,
MCPU-13470,New Bug,TEAM_BEAUJOLAIS,PU9.0,Bug,,Major,,,06/07/2018 06:17,
MCPU-13466,Development Backlog,"PriorityforQA, RequiredForConformance, TEAM_BEAUJOLAIS",PU9.0,Bug,,Critical,,,05/07/2018 21:28,
MCPU-13460,Closed - Complete,"PriorityForQA, RequiredForConformance, TEAM_REGSERV",PU10.0,Bug,,Critical,,27-Jul-18,05/07/2018 20:49,
MCPU-13457,New Bug,"DEVELOPMENT_GAP, NEW_TRADE_PROCESSING, TEAM_BEAUJOLAIS, TIW_INTEGRATION, TRADESERV",PU9.0,Bug,,Major,,,05/07/2018 19:29,
MCPU-13456,Closed - Complete,"PriorityForQA, RequiredForConformance, TEAM_REGSERV",PU10.0,Bug,,Critical,,,05/07/2018 18:02,
MCPU-13448,New Bug,"Core-Vivek, TEAM_ALSACE",PU9.0,Bug,,Major,CreditTeam-Alsace-Sprint-28,,05/07/2018 12:13,
MCPU-13447,New Bug,"Core-Vivek, TEAM_ALSACE",PU9.0,Bug,,Major,CreditTeam-Alsace-Sprint-28,,05/07/2018 11:41,
MCPU-13423,Development Backlog,"REGIME_CFTC, TEAM_REGSERV",PU8.0,Bug,,Critical,,18-Jul-18,05/07/2018 07:44,
MCPU-13257,Bug Backlog,TEAM_BEAUJOLAIS,PU9.0,Bug,,Critical,,18-Jul-18,04/07/2018 10:32,
